Class: 7, Confidence: 0.97, Box: (290, 204, 25, 19), Color: Green
Class: 5, Confidence: 0.83, Box: (416, 204, 23, 23), Color: Red
Class: 5, Confidence: 0.97, Box: (390, 189, 24, 24), Color: Red
Class: 7, Confidence: 0.95, Box: (260, 197, 25, 20), Color: Green
Class: 5, Confidence: 0.98, Box: (387, 189, 23, 22), Color: Red
Class: 7, Confidence: 0.96, Box: (256, 197, 25, 19), Color: Green
Class: 7, Confidence: 0.94, Box: (256, 194, 24, 20), Color: Green
Class: 5, Confidence: 0.92, Box: (386, 188, 23, 22), Color: Red
Class: 7, Confidence: 0.96, Box: (253, 191, 25, 19), Color: Green
Class: 5, Confidence: 0.96, Box: (381, 185, 27, 24), Color: Red
Class: 8, Confidence: 0.86, Box: (136, 195, 23, 20), Color: Blue
Class: 7, Confidence: 0.97, Box: (251, 190, 26, 19), Color: Green
Class: 5, Confidence: 0.95, Box: (384, 184, 22, 23), Color: Red
Class: 8, Confidence: 0.84, Box: (134, 193, 23, 20), Color: Blue
Class: 7, Confidence: 0.97, Box: (251, 187, 24, 20), Color: Green
Class: 8, Confidence: 0.96, Box: (133, 190, 24, 20), Color: Blue
Class: 5, Confidence: 0.89, Box: (383, 182, 23, 24), Color: Red
Class: 7, Confidence: 0.98, Box: (250, 186, 25, 20), Color: Green
Class: 8, Confidence: 0.96, Box: (134, 189, 23, 20), Color: Blue
Class: 5, Confidence: 0.95, Box: (382, 180, 28, 25), Color: Red
Class: 7, Confidence: 0.98, Box: (251, 186, 24, 20), Color: Green
Class: 5, Confidence: 0.94, Box: (382, 180, 28, 24), Color: Red
Class: 8, Confidence: 0.93, Box: (133, 188, 23, 19), Color: Blue
Class: 5, Confidence: 0.96, Box: (387, 180, 23, 23), Color: Red
Class: 7, Confidence: 0.94, Box: (255, 185, 23, 20), Color: Green
Class: 5, Confidence: 0.97, Box: (388, 179, 23, 23), Color: Red
Class: 7, Confidence: 0.94, Box: (255, 184, 24, 20), Color: Green
Class: 8, Confidence: 0.89, Box: (134, 185, 22, 20), Color: Unknown
